Wed Mar 16 05:31:52 2016
t avgfit avgtime bestfit
5 10.0 0.0352561666667 10.0
10 40.0 0.303636133333 40.0
15 117.166666667 1.13410486667 120.0
20 175.666666667 2.31696466667 190.0
25 238.333333333 3.0653541 280.0
30 278.833333333 3.75530553333 330.0
35 313.833333333 4.42816446667 345.0
40 355.666666667 5.21747786667 405.0
45 384.333333333 6.15394966667 430.0
50 409.333333333 7.20325436667 470.0
55 428.333333333 8.38374746667 490.0
60 442.833333333 8.5545558 525.0
65 472.833333333 9.25303486667 515.0
70 485.0 10.1498294667 550.0
75 521.166666667 10.7647650333 600.0
80 532.333333333 11.7514151 620.0
85 537.5 12.7015834333 615.0
90 557.0 13.5439763 610.0
95 586.0 14.816781 680.0
100 593.333333333 15.7424547 660.0
105 617.666666667 16.9766289667 710.0
110 630.333333333 18.2258601667 690.0
115 669.833333333 18.8994589667 800.0
120 673.833333333 20.4188488667 765.0
125 691.833333333 21.1780607667 770.0
130 703.333333333 22.8300063 755.0
