Wed Mar 16 04:50:45 2016
t avgfit avgtime bestfit
15 166.0 0.603380033333 170.0
20 186.0 1.04966153333 200.0
25 237.666666667 1.4665491 260.0
30 283.333333333 1.81987056667 320.0
35 325.0 2.29066753333 380.0
40 344.0 2.59362586667 380.0
45 375.333333333 3.04816203333 430.0
50 384.0 3.21674566667 420.0
55 403.0 3.6621329 450.0
60 424.333333333 3.98518476667 490.0
65 436.333333333 4.3586261 480.0
70 455.0 4.5437195 510.0
75 475.666666667 4.99054456667 530.0
80 493.666666667 5.14825546667 560.0
85 501.333333333 5.4399283 590.0
90 517.0 5.80534153333 570.0
95 531.333333333 5.89750496667 570.0
100 547.666666667 6.9217922 620.0
105 551.333333333 6.37712613333 630.0
110 565.0 6.36583613333 610.0
